ky,q,shat,electron_dens_gradient,beta,electron_nu,electron_temp_gradient,mode_frequency,growth_rate,freq_std,growth_std,elec_es_flux,elec_em_flux,ion_es_flux,ion_em_flux,converged,mtm,ftime,nsteps,tearing,frequency_ratio
0.866466275,8.56093457,1.7033227,1.802730682,0.052012066,0.085401458,4.472743558,-3.753056958,0.207490571,2.179915152,3.29E-05,-6.76E-05,0.514367073,3.40E-06,0.000137341,1,1,29.9,1500,0.262126378,1.072379793
0.050400598,3.473989169,2.442639794,3.18261687,0.164578176,0.012173074,1.219050566,-0.192336517,-0.000204625,0.092200354,4.60E-09,1.45E-06,2.71E-05,-2.38E-07,4.01E-07,1,1,1599.6,79980,0.292049295,1.006332385
0.11267285,8.359091929,4.926638083,0.463351161,0.09732039,0.016036731,3.839273784,-0.280579621,0.01181703,2.58E-08,3.09E-08,-3.63E-06,0.010149053,2.12E-07,1.15E-05,1,1,55.94,2820,0.722081165,1.044996847
0.164949794,4.774739268,3.283523749,2.106573511,0.144633607,0.034846554,1.91552308,-0.502289647,0.009145218,4.40E-05,0.000114045,8.31E-06,0.000802808,-1.36E-06,1.71E-05,1,1,47.46,2400,0.360744354,0.993724965
0.38398277,2.917221802,2.609874488,1.072354926,0.204470963,0.074497808,4.421401333,-1.155461979,0.08961145,4.08E-05,6.32E-05,4.18E-05,0.00142268,-3.75E-06,6.33E-05,1,1,18.76,960,0.169535653,0.916570099
0.522855192,4.877357018,4.708046311,3.530426614,0.039390099,0.004473886,5.738941929,-2.476554262,-0.005517787,0.797211857,0.02370701,0.000136602,0.033167968,6.39E-07,0.000126858,1,1,1599.6,79980,0.404664415,0.740105104
0.689378901,8.243385169,3.354007169,3.915506681,0.012738063,0.048065432,1.49623178,-2.871134985,-0.018030655,1.731638088,0.003198101,1.00E-05,-0.00100179,0.000431129,0.000853523,1,1,1599.6,79980,0.145687653,0.893042707
0.329761714,6.720120979,4.368774497,1.457435403,0.158654545,0.08082624,2.830176538,-0.956799276,0.004428025,1.35E-06,6.34E-06,7.84E-06,0.020115454,1.10E-06,9.86E-05,1,1,99.04,4980,0.551526554,1.010082833
0.585127319,6.921670667,2.338604489,0.026088845,0.298108793,0.02393075,2.175447559,-0.603959633,0.165294176,0.003166136,0.002051444,-4.23E-05,0.06474996,4.51E-07,1.06E-05,1,1,878.58,43950,0.390872413,0.92671331
0.648946779,7.489327302,1.349504945,3.733697803,0.07640561,0.039986918,2.809740793,-2.817912817,0.050495489,1.606953408,0.085519795,5.73E-05,-0.002600828,0.000147651,0.001162219,1,1,1042.26,52140,0.062753492,0.845038209
0.261163137,5.515976874,1.133936183,1.198231401,0.241966265,0.082240091,1.386610134,-0.49720331,0.034558282,1.16E-06,1.46E-06,-9.93E-06,0.006342716,1.94E-07,4.16E-06,1,1,59.72,3000,0.621517058,1.006485252
0.963315563,8.464265417,0.824260077,5.205054849,0.281764718,0.004959482,3.17857758,-6.371185371,0.035375233,1.836712092,0.001732514,1.08E-05,0.063485001,1.52E-06,2.66E-05,1,1,630.3,31530,0.207016658,0.973428721
0.323435566,4.563750115,3.464146028,2.672815703,0.021021532,0.089227051,3.66375441,-1.428820217,0.052731081,0.841517705,0.000329457,3.85E-05,0.02622958,-5.38E-07,0.000144775,1,1,23.72,1200,0.793787019,0.980673912
0.71128082,2.604038063,3.872133078,0.214744444,0.185565613,0.031478189,4.995038466,-1.88733904,0.516181505,9.77E-05,8.40E-05,0.000117271,0.016734659,-7.70E-07,2.75E-05,1,1,8.3,420,0.286085117,0.978310957
0.500949407,6.161319867,3.105275199,2.316340024,0.214796825,0.012877647,0.755010256,-2.089044893,-0.027577409,1.222762012,0.042960509,-7.69E-05,0.000110928,3.63E-05,0.000224002,1,0,1599.6,79980,0.032127464,1.548036791
0.390312784,7.684160945,4.596740513,4.774411693,0.068343845,0.057913705,2.069848249,-1.72144523,-0.014227558,0.947378355,0.010156083,9.91E-05,-0.002034955,0.00029052,0.000629575,1,1,1599.6,79980,0.025315997,0.75919607
0.780341382,8.018590758,3.703009521,0.852897392,0.115679897,0.077469267,5.925362023,-2.561272755,0.272027146,2.46E-06,1.43E-05,7.14E-06,0.315756077,4.37E-06,9.05E-05,1,1,20,1020,0.853250267,0.860222523
0.042127309,7.373593604,0.459385496,1.878886515,0.033652877,0.020577584,5.272114867,-0.212248595,0.032229246,0.090013296,5.17E-06,-1.11E-07,0.000504203,1.89E-07,3.94E-07,1,1,13.72,690,0.864670566,1.115908901
0.601526999,5.347804197,1.422337659,1.97848936,0.163489752,0.092858541,4.67598117,-0.756808391,0.06284905,0.163120292,0.051341109,2.30E-05,0.000135017,-1.90E-05,0.000163863,1,0,1599.6,79980,0.033730279,0.291474849
0.673006404,8.768626778,0.629061571,0.510517669,0.190101421,0.06178498,1.035972083,-0.693849681,0.273437767,0.043076333,0.016660979,-1.71E-05,0.02410319,1.21E-06,1.44E-05,1,1,31.34,1590,0.425580574,1.002398328
0.283952788,7.231927505,2.065274374,3.045946066,0.053692099,0.016407363,2.432265265,-1.382736616,-0.030914638,0.36698126,0.01345052,-3.14E-06,0.002302968,1.73E-05,1.78E-05,1,1,1599.6,79980,0.109150098,1.142541179
0.539192781,6.574031439,3.792085653,4.077214094,0.100298749,0.084214906,3.08551193,-2.228384979,0.031844877,1.384416485,0.029109141,0.000274305,-0.00270029,0.000363212,0.000441873,1,0,1544.42,77250,0.00525396,0.735380571
0.429826367,8.533523776,3.545397277,1.619180616,0.257275315,0.042301771,1.754563071,-1.088843113,0.1149556,2.27E-05,9.62E-05,-2.07E-05,0.036175712,3.12E-06,0.000105712,1,1,25.32,1290,0.508108591,1.014722451
0.756281637,8.213082342,4.42706183,2.769492193,0.150863516,0.024301394,3.584174002,-3.080553618,-0.032917104,1.844225383,0.015044014,4.61E-05,-0.000519723,0.000367582,0.000581906,1,1,1599.6,79980,0.067365673,0.892955872
0.064947707,3.057486892,3.991408755,2.257305382,0.047753967,0.097628603,0.995530577,-0.186183121,0.008984798,9.02E-06,5.43E-05,2.67E-06,0.000150304,1.42E-08,6.71E-06,1,1,17.92,900,0.701124468,1.040503965
0.892040342,6.910983345,1.26524418,1.347488915,0.140227634,0.046877358,5.644266698,-3.234310145,0.31099896,2.583746946,5.40E-06,4.06E-06,0.137555879,3.78E-06,3.14E-05,1,1,24.16,1230,0.770763159,0.869561803
0.818614908,3.708693538,2.020075544,1.098638379,0.110965163,0.003322358,1.650280445,-1.551278,-0.002669508,4.09E-09,1.00E-08,1.68E-05,0.074419659,1.60E-07,0.000192847,1,1,1599.6,79980,0.808295873,0.985042332
0.827865317,7.656882885,0.265608535,4.899146251,0.236360642,0.014064186,4.843713293,-6.458022668,0.01846938,1.299451231,0.002120598,1.90E-05,0.006180807,7.86E-07,7.89E-06,1,0,138.26,6930,0.406739284,1.065538872
0.187883306,5.697177886,2.525108532,2.363660969,0.08404883,0.059101778,3.428964098,-0.76466666,0.004735443,0.417301119,6.69E-05,5.67E-06,0.002290348,1.16E-06,2.50E-05,1,1,47.24,2370,0.382241875,0.997979245
0.027436281,2.303852579,0.758969014,0.086201078,0.129906752,0.09037858,2.278199112,-0.054186037,0.00155019,5.71E-09,2.72E-08,2.52E-08,7.72E-05,5.27E-08,5.07E-07,1,1,1599.6,79980,0.763753424,1.611830949
0.945066697,6.362136306,4.189467871,1.014221525,0.074670548,0.039614765,4.148409398,-3.556241354,-0.014465094,1.539773037,0.006775899,7.24E-05,0.221847806,2.57E-05,0.000593484,1,1,1599.6,79980,0.304606598,1.21840462
0.521556314,8.427194245,2.216028745,6.545979844,0.142766328,0.028828647,5.242383711,-2.242855095,-0.011393655,1.361536428,0.006680696,0.00034678,-0.003119193,0.00030495,5.35E-05,1,0,1599.6,79980,0.001684354,0.469099146
0.125610878,4.471190478,4.856215808,4.01371778,0.179812258,0.063025755,1.586917328,-0.603788645,0.008936292,0.235817389,1.26E-06,9.91E-06,0.000875049,-4.99E-07,6.39E-06,1,1,96.18,4830,0.537213413,0.999925461
0.765531275,2.497832945,2.789144973,1.555665105,0.028812625,0.008545377,2.90981992,-0.904103605,0.017819353,0.061275072,0.032735309,0.000170693,-0.03909256,0.000608377,-0.003590134,1,0,1599.6,79980,0.184481574,0.392288704
